run_name,layers,activation,learning_rate,momentum,epochs,final_train_accuracy,final_val_accuracy,best_val_accuracy,best_val_epoch,train_val_accuracy_gap,train_test_accuracy_gap,test_loss,test_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,balanced_accuracy
baseline_relu,784-256-128-10,relu,0.05,0.9,15,1.0000,0.9810,0.9819,13,0.0190,0.0188,0.0755,0.9812,0.9811,0.9810,0.9811,0.9812,0.9812,0.9812,0.9810
deeper_relu,784-256-128-64-10,relu,0.03,0.9,15,1.0000,0.9818,0.9818,15,0.0182,0.0177,0.0769,0.9823,0.9822,0.9821,0.9821,0.9823,0.9823,0.9823,0.9821
